id,provider_name,type,certifications_offered,trade,state,city,format,cost_min,cost_max,duration,financial_aid,website,description
238,Northern New Mexico College,Community College,"HVAC, Welding, Electrical, Carpentry",Multiple Trades,NM,Espanola,In-Person,2500,5000,1-2 years,Yes,nnmc.edu,"Technical Trades with HVAC, welding, and electrical."
239,Central New Mexico College,Community College,"Carpentry, Electrical, HVAC, Plumbing, Welding",Multiple Trades,NM,Albuquerque,In-Person,2500,5000,1-2 years,Yes,www.cnm.edu,"61,000 sq ft facility with multiple construction trade labs."
240,SENMC,Community College,"Vocational, Energy, Manufacturing",Multiple Trades,NM,Hobbs,In-Person,2500,5000,1-2 years,Yes,www.senmc.edu,Manufacturing and vocational programs.
241,Truckee Meadows Community College,Community College,"HVAC, Welding, Refrigeration",Multiple Trades,NV,Reno,In-Person,2500,5000,1-2 years,Yes,www.tmcc.edu,"Hands-on AC and refrigeration repair, welding programs."
242,Advanced Training Institute (ATI),Training School,"HVAC/R, Electrical, Welding",Multiple Trades,NV,Las Vegas,In-Person,6000,12000,6-12 months,Yes,atitraining.edu,Industry-recognized certifications in technical careers.
243,College of Southern Nevada,Community College,HVAC Maintenance Technology,HVAC,NV,Las Vegas,In-Person,4110,4110,1-2 years,Yes,csn.edu,HVAC with diagnostic techniques and electronics instruction.
244,Apex Technical School,Training School,"Electrical, HVAC, Plumbing, Welding, Automotive",Multiple Trades,NY,Long Island City,In-Person,8000,15000,6-12 months,Yes,apexschool.com,60+ years experience with hands-on skilled trades training.
245,Lincoln Tech,Training School,"HVAC, Electrical, Automotive",Multiple Trades,NY,Syracuse,In-Person,7000,14000,6-12 months,Yes,www.lincolntech.edu,HVAC and electrical with current tools and equipment.
246,New York Career & Business School,Training School,"Electrical, Plumbing, Solar, OSHA",Multiple Trades,NY,New York City,In-Person,6000,12000,6-12 months,Yes,www.nycareerschool.com,"Electrical, plumbing, solar, and OSHA training."
247,Columbus State Community College,Community College,"Welding Associate Degree, Carpentry, Electrical, Plumbing",Multiple Trades,OH,Columbus,In-Person,2500,5000,45 weeks to 2 years,Yes,www.cscc.edu,"Welding certified in 45 weeks; also facilities, carpentry, and trades."
248,Hobart Institute of Welding Technology,Training School,"Pipe Welding, Blueprint Reading, Welder Certs",Welding,OH,Troy,In-Person,8000,15000,6-12 months,Yes,www.hobartinstitute.com,Accredited pipe welding and advanced certifications.
249,Stark State College,Community College,Welding Certificate/AAS,Welding,OH,North Canton,In-Person,2500,5000,1-2 years,Yes,www.starkstate.edu,Mainstream welding with AWS certification prep.
250,Tulsa Welding School,Training School,"Welding, HVAC/R, Electrical",Multiple Trades,OK,Tulsa,In-Person,8000,15000,6-7 months,Yes,www.tws.edu,National trade school with multiple Oklahoma locations.
251,Francis Tuttle,Community College,"Flex Trades HVAC, Electrician",Multiple Trades,OK,Oklahoma City,In-Person,2500,5000,6-12 months,Yes,www.francistuttle.edu,HVAC and electrical classes meeting CIB requirements.
252,Moore Norman Technology Center,Community College,"Construction, Manufacturing, Welding, HVAC",Multiple Trades,OK,Moore,In-Person,1500,3000,Weeks to months,Yes,www.mntc.edu,Affordable construction-related classes.
253,Portland Community College,Community College,"Welding, HVAC, Electrical",Multiple Trades,OR,Portland,In-Person,3000,7000,6-12 months cert,Yes,www.pcc.edu,Extensive technical and skilled-trade programs.
254,Lane Community College,Community College,Fabrication and Welding,Welding,OR,Eugene,In-Person,2500,5000,1-2 years,Yes,www.lanecc.edu,"15,000 sq ft welding facility with advanced instruction."
255,Linn-Benton Community College,Community College,"Welding, HVAC, Electrical",Multiple Trades,OR,Lebanon,In-Person,2500,5000,6-12 months cert,Yes,www.linnbenton.edu,Community college trade certification programs.
256,Pennco Tech,Training School,"Welding, HVAC&R",Multiple Trades,PA,Bristol,In-Person,7000,14000,6-12 months,Yes,www.penncotech.edu,Hands-on welding and HVAC&R training programs.
257,Penn Commercial,Training School,HVAC-R Technical Training,HVAC,PA,Washington,In-Person,6000,12000,12 months,Yes,penncommercial.edu,HVAC-R program with EPA 608 preparation.
258,Pennsylvania College of Technology,Community College,"Plumbing, HVAC, Electrical",Multiple Trades,PA,Williamsport,In-Person,3000,6000,2 years,Yes,www.pct.edu,Technical college with multiple construction trades.
259,Lincoln Tech Lincoln,Training School,"HVAC, Electrical",Multiple Trades,RI,Lincoln,In-Person,7000,14000,6-12 months,Yes,www.lincolntech.edu,"Career training near Providence, Pawtucket, Warwick."
260,Rhode Island Makers Training Program,Training Organization,Welding (Free),Welding,RI,Providence,In-Person,0,0,5 weeks + 100+ hours,Yes,dlt.ri.gov,Free 5-week welding program for RI unemployed/underemployed.
261,Rhode Island Construction Training Academy,Training Center,Construction/Building Trades,Multiple Trades,RI,Providence,In-Person,2000,4000,1-2 years,Yes,www.ricta.org,Construction trade certifications and training.
262,Greenville Technical College,Community College,"HVAC Excellence, Welding, Plumbing",Multiple Trades,SC,Greenville,In-Person,2500,5000,1-2 years,Yes,www.gvltec.edu,HVAC Excellence accredited with multiple trade options.
263,Spartanburg Community College,Community College,"Welding (SMAW, GTAW, GMAW, Oxy-Fuel)",Welding,SC,Spartanburg,In-Person,2500,5000,1-2 years,Yes,www.sccsc.edu,Welding certificate or degree program.
264,South Carolina School of Welding,Training School,Welding,Welding,SC,Charleston,In-Person,4000,8000,<24 weeks,Yes,www.southcarolinaschoolofwelding.com,Vocational welding training in less than 24 weeks.
265,Southeast Technical College,Community College,"Welding (AWS ATF), HVAC, Industrial Tech",Multiple Trades,SD,Sioux Falls,In-Person,2500,5000,1-2 years,Yes,www.southeasttech.edu,First AWS Accredited Test Facility in SD; diploma earns 2 AWS certs.
266,Mitchell Technical Institute,Community College,"Electrical, HVAC, Welding",Multiple Trades,SD,Mitchell,In-Person,2500,5000,1-2 years,Yes,www.mitchelltech.edu,Multiple skilled trades programs.
267,Lake Area Technical Institute,Community College,Multiple Trade Programs,Multiple Trades,SD,Watertown,In-Person,2500,5000,1-2 years,Yes,www.lakeareatech.edu,Regional technical college with trade certifications.
268,Volunteer State OSHA Training Center,OSHA Training Center,OSHA Training,Safety,TN,Nashville,In-Person,100,300,1-3 days,Yes,www.volstate.edu,OSHA Education Center affiliated with university.
269,Tennessee College of Applied Technology (TCAT),Community College,Multiple Trade Certifications,Multiple Trades,TN,Nashville,In-Person,2500,5000,6-24 months,Yes,www.tcat.edu,State system with statewide campus locations.
270,United Association Local Union Chapters,Union Training,"Welding, Plumbing, HVAC, Pipefitting",Multiple Trades,TN,Memphis,In-Person,0,0,5 years apprenticeship,Yes,ua.org,Union apprenticeships with on-the-job and classroom training.
271,Tulsa Welding School Dallas,Training School,"Welding, HVAC/R, Electrical",Multiple Trades,TX,Dallas,In-Person,8000,15000,6-7 months,Yes,www.tws.edu,Hands-on training in multiple trades.
272,NTI Training,Training School,"HVAC, Plumbing, Electrical",Multiple Trades,TX,Houston,In-Person,5000,10000,Accelerated programs,Yes,www.ntitraining.com,Accelerated hands-on training in skilled trades.
273,TSTC Waco,Community College,Welding Technology,Welding,TX,Waco,In-Person,2500,5000,2 years AAS,Yes,www.tstc.edu,State technical college with welding programs.
274,Fortis College Salt Lake City,Training School,"HVAC, EPA 608",HVAC,UT,Salt Lake City,In-Person,6000,12000,6-12 months,Yes,www.fortis.edu,HVAC training with third-party EPA 608 certification.
275,Mountainland Technical College,Community College,HVAC Apprenticeship (360 hours),HVAC,UT,Orem,In-Person,2500,5000,360 hours,Yes,www.mountainlandtech.edu,HVAC apprenticeship combining classroom and hands-on learning.
276,Davis Technical College,Community College,"HVAC, EPA 608",HVAC,UT,Kaysville,In-Person,2500,5000,1-2 years,Yes,www.davistechcollege.edu,HVAC program preparing for EPA 608 exam.
277,DuCharme HVAC Training,Online Platform,"EPA 608, A2L Safety",HVAC,VT,Online,Online,350,450,Self-paced,No,ducharmetraining.com,Fully online EPA 608 and A2L refrigerant safety training.
278,Burlington Technical Center,Training Center,HVAC/R Technician,HVAC,VT,Burlington,In-Person,2000,4000,Evening classes,Yes,btc-vt.org,Evening and weekend HVAC/R technician training.
279,Vermont Technical College,Community College,"Welding, HVAC",Multiple Trades,VT,Randolph Center,In-Person,3000,6000,1-2 years,Yes,www.vermonttech.edu,Introductory and advanced welding with AWS certification.
280,Virginia Technical Institute,Training School,"Welding, HVAC, Electrical, Carpentry, Plumbing",Multiple Trades,VA,Altavista,In-Person,6000,12000,6-12 months,Yes,www.govti.org,OSHA and NCCER approved courses in multiple trades.
281,Liberty University Technical Studies,Community College,"Welding, HVAC, Electrical, Carpentry, Plumbing, OSHA",Multiple Trades,VA,Lynchburg,In-Person,3000,6000,2 years AAS,Yes,www.liberty.edu,Partnership with Virginia Technical Institute for trade training.
282,Northern Virginia Community College,Community College,"Electrical, HVAC, Plumbing, Carpentry",Multiple Trades,VA,Annandale,In-Person,2500,5000,1-2 years,Yes,www.nvcc.edu,Workforce training in multiple construction trades.
283,Construction Industry Training Council (CITC),Training Center,"Electrical, HVAC, Plumbing, Construction Trades",Multiple Trades,WA,Seattle,In-Person,0,0,Apprenticeship-based,Yes,www.citcwa.org,State-licensed vocational trade school throughout Washington.
284,Bates Technical College,Community College,HVAC AAS (PAHRA accredited),HVAC,WA,Tacoma,In-Person,2500,5000,2 years AAS,Yes,www.bates.ctc.edu,PAHRA-accredited HVAC program in Washington.
285,Seattle Pipe Trades,Union Training,"Plumbing, Pipefitting, Welding Apprenticeships",Multiple Trades,WA,Seattle,In-Person,0,0,4-5 year apprenticeship,Yes,www.seattlepipetrades.org,Union apprenticeships with continuing education.
286,Northeast Wisconsin Technical College,Community College,"HVAC/R Technician, HVAC Installer",HVAC,WI,Green Bay,In-Person,2500,5000,1-2 years,Yes,www.nwtc.edu,Multiple HVAC program options including AAS and certificates.
287,Milwaukee Area Technical College,Community College,Welding Technology,Welding,WI,Milwaukee,In-Person,2500,5000,1-2 years,Yes,www.matc.edu,Welding at multiple Milwaukee area campuses.
288,Madison College,Community College,Welding Technical Diploma,Welding,WI,Madison,In-Person,2500,5000,2 years,Yes,madisoncollege.edu,Welding technical diploma program.
289,James Rumsey Technical Institute,Training School,HVACR,HVAC,WV,Martinsburg,In-Person,7637,7637,9 months full-time,Yes,www.jrti.edu,Full-time HVAC/R program at 30 hours per week.
290,West Virginia Northern Community College,Community College,"Refrigeration, AC, Heating Technology AAS",HVAC/R,WV,Wheeling,In-Person,7000,7000,4 semesters,Yes,www.wvncc.edu,HVAC/R technology associate degree program.
291,BridgeValley Community and Technical College,Community College,"Electrical, Welding, HVAC, Automotive",Multiple Trades,WV,Montgomery,In-Person,2500,5000,1-2 years,Yes,www.bridgevalley.edu,Technical education in multiple trades.
292,Casper College,Community College,"Welding, HVAC, Electrical Apprenticeship",Multiple Trades,WY,Casper,In-Person,2500,5000,1-2 years,Yes,www.caspercollege.edu,Extensive skilled trades including welding and HVAC.
293,Gillette College,Community College,"Welding, Industrial Electricity, Diesel, CNC",Multiple Trades,WY,Gillette,In-Person,2500,5000,1-2 years,Yes,www.gillettecollege.edu,Industrial trades with flexible scheduling.
294,Sheridan College,Community College,"HVAC Apprenticeship, Industrial Trades",Multiple Trades,WY,Sheridan,In-Person,2500,5000,1-2 years,Yes,www.sheridan.edu,HVAC and skilled trades with real-world troubleshooting.
